"Metaphor","SubMetaphor","Title","Year","Author","Where.pub","Is.journal","DOI","Citations.doi","Citations.count"
"Sheep Flocks",NA,"A new evolutionary algorithm based on sheep flocks heredity model",2001,"Hyunchul Kim; Byungchul Ahn","2001 IEEE Pacific Rim Conference on Communications, Computers and Signal Processing (IEEE Cat. No.01CH37233)",FALSE,"10.1109/pacrim.2001.953683",10.1109/pacrim.2001.953683,   2
"Sine Waves",NA,"Golden sine algorithm: a novel math-inspired algorithm",2017,"Erkan Tanyildizi; Gokhan Demir","Advances in Electrical and Computer Engineering",TRUE,NA,NA,NA
"Slime Mold",NA,"Slime Mold as a model for numerical optimization",2008,"David R. Monismith; Blayne E. Mayfield","2008 IEEE Swarm Intelligence Symposium",FALSE,"10.1109/sis.2008.4668295",10.1109/sis.2008.4668295,  13
"Small World",NA,"Small-World Optimization Algorithm for Function Optimization",2006,"Haifeng Du; Xiaodong Wu; Jian Zhuang","Lecture Notes in Computer Science",FALSE,"10.1007/11881223_33",10.1007/11881223_33,  51
"Spirals",NA,"Spiral Dynamics Inspired Optimization",2011,"Kenichi Tamura; and Keiichiro Yasuda","Journal of Advanced Computational Intelligence and Intelligent Informatics",TRUE,"10.20965/jaciii.2011.p1116",10.20965/jaciii.2011.p1116,  57
"Soccer","Soccer Games","Soccer Game Optimization",2013,"Hindriyanto Dwi Purnomo; Hui-Ming Wee","Meta-Heuristics Optimization Algorithms in Engineering, Business, Economics, and Finance",FALSE,"10.4018/978-1-4666-2086-5.ch013",10.4018/978-1-4666-2086-5.ch013,   8
"Soccer","Soccer Tournaments","Golden ball: a novel meta-heuristic to solve combinatorial optimization problems based on soccer concepts",2014,"E. Osaba; F. Diaz; E. Onieva","Applied Intelligence",TRUE,"10.1007/s10489-013-0512-y",10.1007/s10489-013-0512-y,  48
"Soccer","League","Soccer League Competition Algorithm, a New Method for Solving Systems of Nonlinear Equations",2014,"Naser Moosavian; Babak Kasaee Roodsari","International Journal of Intelligence Science",TRUE,"10.4236/ijis.2014.41002",10.4236/ijis.2014.41002,  24
"Soccer","Style","Tiki-taka algorithm: a novel metaheuristic inspired by football playing style",2020,"Mohd Fadzil Faisae Ab. Rashid","Engineering Computations",TRUE,"10.1108/ec-03-2020-0137",10.1108/ec-03-2020-0137,   1
"Social Behavior",NA,"Society and civilization: an optimization algorithm based on the simulation of social behavior",2003,"T. Ray; K.M. Liew","IEEE Transactions on Evolutionary Computation",TRUE,"10.1109/tevc.2003.814902",10.1109/tevc.2003.814902, 315
"Social Behavior","Queuing","Queuing search algorithm: A novel metaheuristic algorithm for solving engineering optimization problems",2018,"Jinhao Zhang; Mi Xiao; Liang Gao; Quanke Pan","Applied Mathematical Modelling",TRUE,NA,NA,NA
"Social Behavior","Seeking","Seeker Optimization Algorithm for Digital {IIR} Filter Design",2010,"Chaohua Dai; Weirong Chen; Yunfang Zhu","IEEE Transactions on Industrial Electronics",TRUE,"10.1109/tie.2009.2031194",10.1109/tie.2009.2031194, 120
"Social Behavior","Thieves and Police","Thieves and Police, a New Optimization Algorithm: Theory and Application in Probabilistic Power Flow",2019,"Hajar Bagheri; Afshin Lashkar Ara; Rahil Hosseini","IETE Journal of Research",TRUE,"10.1080/03772063.2019.1672586",10.1080/03772063.2019.1672586,   1
"Social Behavior","Poor and Rich","Poor and rich optimization algorithm: A new human-based and multi populations algorithm",2019,"Seyyed Hamid Samareh Moosavi; Vahid Khatibi Bardsiri","Engineering Applications of Artificial Intelligence",TRUE,"10.1016/j.engappai.2019.08.025",10.1016/j.engappai.2019.08.025,  30
"Social Behavior","Urbanization","Human urbanization algorithm: A novel metaheuristic approach",2020,"Hadi Ghasemian; Fahimeh Ghasemian; Hamed Vahdat-Nejad","Mathematics and Computers in Simulation",TRUE,"10.1016/j.matcom.2020.05.023",10.1016/j.matcom.2020.05.023,   0
"Social Engineering",NA,"Social Engineering Optimization (SEO); A New Single-Solution Meta-heuristic Inspired by Social Engineering",2017,"Amir Mohammad Fathollahi Fard; Mostafa Hajiaghaei-Keshteli","International Conference on Industrial Engineering",FALSE,NA,NA,NA
"Social Spiders",NA,"A swarm optimization algorithm inspired in the behavior of the social-spider",2013,"Erik Cuevas; Miguel Cienfuegos; Daniel Zald\'\ivar; Marco Pérez-Cisneros","Expert Systems with Applications",TRUE,"10.1016/j.eswa.2013.05.041",10.1016/j.eswa.2013.05.041, 274
"Sooty Tern",NA,"{STOA}: A bio-inspired based optimization algorithm for industrial engineering problems",2019,"Gaurav Dhiman; Amandeep Kaur","Engineering Applications of Artificial Intelligence",TRUE,"10.1016/j.engappai.2019.03.021",10.1016/j.engappai.2019.03.021,  85
"Sperm",NA,"Sperm motility algorithm: a novel metaheuristic approach for global optimisation",2017,"Osama Abdel Raouf; Ibrahim M. Hezam","International Journal of Operational Research",TRUE,"10.1504/ijor.2017.10002079",10.1504/ijor.2017.10002079,   0
"Sports Championships",NA,"League Championship Algorithm: A New Algorithm for Numerical Function Optimization",2009,"Ali Husseinzadeh Kashan","2009 International Conference of Soft Computing and Pattern Recognition",FALSE,"10.1109/socpar.2009.21",10.1109/socpar.2009.21,  76
"Squirrels","Flying Squirrels","A novel nature-inspired algorithm for optimization: Squirrel search algorithm",2018,"Mohit Jain; Vijander Singh; Asha Rani","Swarm and Evolutionary Computation",TRUE,"10.1016/j.swevo.2018.02.013",10.1016/j.swevo.2018.02.013, 217
"Swallows",NA,"Swallow swarm optimization algorithm: a new method to optimization",2012,"Mehdi Neshat; Ghodrat Sepidnam; Mehdi Sargolzaei","Neural Computing and Applications",TRUE,"10.1007/s00521-012-0939-9",10.1007/s00521-012-0939-9,  34
"Symbiotic Organisms",NA,"Symbiotic Organisms Search: A new metaheuristic optimization algorithm",2014,"Min-Yuan Cheng; Doddy Prayogo","Computers & Structures",TRUE,"10.1016/j.compstruc.2014.03.007",10.1016/j.compstruc.2014.03.007, 654
"Sonar",NA,"A New Metaheuristic Method for Optimization: Sonar Inspired Optimization",2017,"Alexandros Tzanetos; Georgios Dounias","Engineering Applications of Neural Networks",FALSE,NA,NA,NA
